account_id,bank_district_id,frequency,date_opened,year,lor,disp_id,client_id,type,birth_number,client_district_id,birth_year,birth_day,birth_month,gender,age,age_group,total_credit,average_credit,frequency_credit,most_recent_credit_date,total_withdrawal,average_withdrawal,frequency_withdrawal,most_recent_withdrawal_date,client_district,client_region,loan_id,loan_status,had_granted_loan_in1997,creditcard_type,had_creditcard_issued_in1997
2357,19,POPLATEK MESICNE,930104,1993,3,2849,2849,OWNER,280402,19,1928,2,4,M,68,60,78441.70000000001,3268.4,24,961231,77873.20000000001,2163.14,36,961231,Prachatice,south Bohemia,0,0,0,0,0
2177,62,POPLATEK MESICNE,930104,1993,3,2636,2636,OWNER,181024,28,1918,24,10,M,78,70,62537.9,2605.75,24,961231,71721.19999999998,1707.65,42,961231,Plzen - sever,west Bohemia,0,0,0,0,0
485,6,POPLATEK PO OBRATU,930104,1993,3,583,583,OWNER,655101,75,1965,1,1,F,31,30,619818.2999999999,17709.09,35,961231,631761.0,7432.48,85,961231,Prerov,north Moravia,0,0,0,0,0
652,21,POPLATEK MESICNE,930105,1993,3,782,782,OWNER,635318,5,1963,18,3,F,33,30,190880.6,7341.56,26,961231,185127.20000000004,4407.79,42,961231,Kolin,central Bohemia,0,0,0,0,0
9635,70,POPLATEK MESICNE,930105,1993,3,11552,11860,OWNER,255830,70,1925,30,8,F,71,70,54339.5,1509.43,36,961231,50285.19999999999,1478.98,34,961231,Karvina,north Moravia,0,0,0,0,0
1844,44,POPLATEK MESICNE,930106,1993,3,2236,2236,OWNER,785627,44,1978,27,6,F,18,10,40526.80000000001,1688.62,24,961231,39247.19999999999,1308.24,30,961231,Chrudim,east Bohemia,0,0,0,0,0
1926,37,POPLATEK MESICNE,930106,1993,3,2338,2338,OWNER,575725,58,1957,25,7,F,39,30,71184.79999999999,2296.28,31,961231,82063.2,1492.06,55,961231,Jihlava,south Moravia,0,0,0,0,0
2393,10,POPLATEK MESICNE,930107,1993,3,2889,2889,OWNER,431205,25,1943,5,12,M,53,50,147078.30000000002,5883.13,25,961231,150339.20000000004,3198.71,47,961231,Klatovy,west Bohemia,0,0,0,0,0
3510,41,POPLATEK MESICNE,930107,1993,3,4238,4238,OWNER,715426,41,1971,26,4,F,25,20,203576.7,8851.16,23,961231,193828.20000000004,6922.44,28,961231,Usti nad Labem,north Bohemia,0,0,0,0,0
1276,36,POPLATEK MESICNE,930107,1993,3,1540,1540,OWNER,371107,36,1937,7,11,M,59,50,97711.79999999999,3369.37,29,961231,90727.20000000001,1417.61,64,961231,Liberec,north Bohemia,0,0,0,0,0
1637,1,POPLATEK MESICNE,930108,1993,3,1984,1984,OWNER,260829,1,1926,29,8,M,70,70,69625.79999999999,2901.07,24,961231,70101.19999999998,1348.1,52,961231,Hl.m. Praha,Prague,0,0,0,0,0
3871,26,POPLATEK MESICNE,930108,1993,3,4665,4665,OWNER,265827,9,1926,27,8,F,70,70,54041.2,2251.72,24,961231,59411.19999999998,1080.2,55,961231,Nymburk,central Bohemia,0,0,0,0,0
192,55,POPLATEK MESICNE,930108,1993,3,232,232,OWNER,215617,55,1921,17,6,F,75,70,71722.00000000001,2988.42,24,961231,78141.20000000001,2056.35,38,961231,Brno - venkov,south Moravia,0,0,0,0,0
764,1,POPLATEK MESICNE,930108,1993,3,914,914,OWNER,215119,1,1921,19,1,F,75,70,76020.5,3167.52,24,961231,72105.20000000001,1897.51,38,961231,Hl.m. Praha,Prague,0,0,0,0,0
2087,7,POPLATEK TYDNE,930108,1993,3,2530,2530,OWNER,500211,8,1950,11,2,M,46,40,249801.3,10408.39,24,961231,248474.0,7099.26,35,961231,Mlada Boleslav,central Bohemia,0,0,0,0,0
2122,68,POPLATEK MESICNE,930108,1993,3,2566,2566,OWNER,635325,29,1963,25,3,F,33,30,132410.9,5517.12,24,961231,132954.2,4154.82,32,961231,Rokycany,west Bohemia,0,0,0,0,0
3592,54,POPLATEK MESICNE,930108,1993,3,4335,4335,OWNER,246225,54,1924,25,12,F,72,70,73179.8,3049.16,24,961231,82255.20000000001,2056.38,40,961231,Brno - mesto,south Moravia,0,0,0,0,0
3487,41,POPLATEK MESICNE,930108,1993,3,4215,4215,OWNER,525608,49,1952,8,6,F,44,40,210275.19999999998,8411.01,25,961231,205535.20000000004,3806.21,54,961231,Semily,east Bohemia,0,0,0,0,0
435,38,POPLATEK MESICNE,930108,1993,3,523,523,OWNER,221217,38,1922,17,12,M,74,70,61814.1,2575.59,24,961231,61573.19999999998,1759.23,35,961231,Louny,north Bohemia,0,0,0,0,0
1730,1,POPLATEK MESICNE,930109,1993,3,2099,2099,OWNER,180116,1,1918,16,1,M,78,70,82377.29999999997,3432.39,24,961231,71121.2,1823.62,39,961231,Hl.m. Praha,Prague,0,0,0,0,0
1493,41,POPLATEK MESICNE,930109,1993,3,1810,1810,OWNER,190630,41,1919,30,6,M,77,70,60971.999999999985,2540.5,24,961231,66985.2,1339.7,50,961231,Usti nad Labem,north Bohemia,0,0,0,0,0
374,38,POPLATEK MESICNE,930109,1993,3,454,454,OWNER,495615,38,1949,15,6,F,47,40,301962.0,12581.75,24,961231,288631.2,8489.15,34,961231,Louny,north Bohemia,0,0,0,0,0
2925,1,POPLATEK MESICNE,930110,1993,3,3533,3533,OWNER,636201,1,1963,1,12,F,33,30,91769.80000000003,3398.88,27,961231,100439.20000000001,2391.41,42,961231,Hl.m. Praha,Prague,0,0,0,0,0
866,9,POPLATEK MESICNE,930110,1993,3,1044,1044,OWNER,715913,9,1971,13,9,F,25,20,169219.40000000005,6768.78,25,961231,171887.20000000004,1998.69,86,961231,Nymburk,central Bohemia,0,0,0,0,0
1628,60,POPLATEK MESICNE,930110,1993,3,1973,1973,OWNER,315913,60,1931,13,9,F,65,60,52204.70000000001,2175.2,24,961231,47745.19999999999,1540.17,31,961231,Prostejov,south Moravia,0,0,0,0,0
2379,44,POPLATEK MESICNE,930110,1993,3,2874,2874,OWNER,720910,34,1972,10,9,M,24,20,66662.40000000001,2777.6,24,961231,64747.19999999999,1156.2,56,961231,Chomutov,north Bohemia,0,0,0,0,0
1979,26,POPLATEK MESICNE,930111,1993,3,2404,2404,OWNER,775705,27,1977,5,7,F,19,10,37401.100000000006,1558.38,24,961231,36733.19999999999,874.6,42,961231,Plzen - jih,west Bohemia,0,0,0,0,0
346,37,POPLATEK MESICNE,930111,1993,3,423,423,OWNER,570623,37,1957,23,6,M,39,30,261663.80000000002,10902.66,24,961231,258595.20000000004,4972.98,52,961231,Litomerice,north Bohemia,0,0,0,0,0
1338,74,POPLATEK MESICNE,930111,1993,3,1619,1619,OWNER,425127,74,1942,27,1,F,54,50,340691.8,11747.99,29,961231,293950.2,4453.79,66,961231,Ostrava - mesto,north Moravia,0,0,0,0,0
1909,14,POPLATEK MESICNE,930112,1993,3,2319,2319,OWNER,705516,40,1970,16,5,F,26,20,39181.899999999994,1632.58,24,961231,41539.19999999999,610.87,68,961231,Teplice,north Bohemia,0,0,0,0,0
2099,3,POPLATEK TYDNE,930112,1993,3,2542,2542,OWNER,441219,3,1944,19,12,M,52,50,507602.39999999997,15381.89,33,961231,477844.0,13273.44,36,961231,Beroun,central Bohemia,0,0,0,0,0
3760,44,POPLATEK MESICNE,930113,1993,3,4536,4536,OWNER,471014,41,1947,14,10,M,49,40,464898.4,17218.46,27,961231,447008.19999999995,11763.37,38,961231,Usti nad Labem,north Bohemia,0,0,0,0,0
5270,44,POPLATEK MESICNE,930113,1993,3,6367,6367,OWNER,700428,44,1970,28,4,M,26,20,584763.3,24365.14,24,961231,556089.1999999998,11121.78,50,961231,Chrudim,east Bohemia,0,0,0,0,0
1699,53,POPLATEK MESICNE,930114,1993,3,2064,2064,OWNER,260730,53,1926,30,7,M,70,70,63435.899999999994,2643.16,24,961231,65079.19999999999,1355.82,48,961231,Blansko,south Moravia,0,0,0,0,0
3909,1,POPLATEK MESICNE,930114,1993,3,4715,4715,OWNER,765812,15,1976,12,8,F,20,20,319412.3,13308.85,24,961231,324083.19999999995,4501.16,72,961231,Cesky Krumlov,south Bohemia,0,0,0,0,0
2926,50,POPLATEK MESICNE,930114,1993,3,3534,3534,OWNER,715321,50,1971,21,3,F,25,20,152156.80000000002,5852.18,26,961231,141291.20000000004,1642.92,86,961231,Svitavy,east Bohemia,0,0,0,0,0
1731,33,POPLATEK MESICNE,930114,1993,3,2100,2100,OWNER,315929,33,1931,29,9,F,65,60,58123.600000000006,2421.82,24,961231,57707.19999999998,1648.78,35,961231,Decin,north Bohemia,0,0,0,0,0
11265,15,POPLATEK MESICNE,930114,1993,3,13537,13845,OWNER,730216,15,1973,16,2,M,23,20,112464.4,3748.81,30,961231,113411.20000000003,1922.22,59,961231,Cesky Krumlov,south Bohemia,0,0,0,0,0
2519,4,POPLATEK MESICNE,930115,1993,3,3041,3041,OWNER,275424,4,1927,24,4,F,69,60,67871.7,2827.99,24,961231,68203.2,1623.89,42,961231,Kladno,central Bohemia,0,0,0,0,0
10364,55,POPLATEK MESICNE,930117,1993,3,12446,12754,OWNER,600820,55,1960,20,8,M,36,30,193807.29999999996,7752.29,25,961231,197458.20000000004,3184.81,62,961231,Brno - venkov,south Moravia,0,0,0,0,0
1481,15,POPLATEK MESICNE,930117,1993,3,1794,1794,OWNER,405330,54,1940,30,3,F,56,50,38148.100000000006,1589.5,24,961231,41535.19999999999,1013.05,41,961231,Brno - mesto,south Moravia,0,0,0,0,0
401,32,POPLATEK MESICNE,930118,1993,3,485,485,OWNER,780516,32,1978,16,5,M,18,10,167717.4,6988.22,24,961231,179483.20000000004,3263.33,55,961231,Ceska Lipa,north Bohemia,0,0,0,0,0
4034,1,POPLATEK MESICNE,930118,1993,3,4862,4862,OWNER,436123,1,1943,23,11,F,53,50,103667.79999999999,3239.62,32,961231,90735.20000000004,3024.51,30,961231,Hl.m. Praha,Prague,0,0,0,0,0
2330,54,POPLATEK MESICNE,930119,1993,3,2818,2818,OWNER,630412,54,1963,12,4,M,33,30,41701.3,1737.55,24,961231,41701.19999999999,906.55,46,961231,Brno - mesto,south Moravia,0,0,0,0,0
1806,40,POPLATEK MESICNE,930119,1993,3,2187,2187,OWNER,330312,40,1933,12,3,M,63,60,61445.7,2560.24,24,961231,54459.19999999998,1512.76,36,961231,Teplice,north Bohemia,0,0,0,0,0
3834,54,POPLATEK MESICNE,930119,1993,3,4620,4620,OWNER,406101,54,1940,1,11,F,56,50,185739.69999999998,7429.59,25,961231,194055.20000000004,2064.42,94,961231,Brno - mesto,south Moravia,0,0,0,0,0
1222,66,POPLATEK MESICNE,930120,1993,3,1475,1475,OWNER,320331,19,1932,31,3,M,64,60,77634.90000000001,3234.79,24,961231,93239.20000000001,2274.13,41,961231,Prachatice,south Bohemia,0,0,0,0,0
212,27,POPLATEK TYDNE,930120,1993,3,255,255,OWNER,516011,27,1951,11,10,F,45,40,652658.6,26106.34,25,961231,649126.0,11191.83,58,961231,Plzen - jih,west Bohemia,0,0,0,0,0
456,49,POPLATEK MESICNE,930121,1993,3,548,548,OWNER,371204,49,1937,4,12,M,59,50,626335.5000000001,26097.31,24,961231,643039.1999999998,14614.53,44,961231,Semily,east Bohemia,0,0,0,0,0
459,47,POPLATEK MESICNE,930121,1993,3,551,551,OWNER,765705,47,1976,5,7,F,20,20,8100.0,1157.14,7,961101,9200.0,2300.0,4,961002,Pardubice,east Bohemia,0,0,0,0,0
772,45,POPLATEK MESICNE,930121,1993,3,924,924,OWNER,530712,1,1953,12,7,M,43,40,315756.69999999995,13156.53,24,961231,332355.19999999995,4316.3,77,961231,Hl.m. Praha,Prague,0,0,0,0,0
1019,52,POPLATEK MESICNE,930121,1993,3,1223,1223,OWNER,555813,14,1955,13,8,F,41,40,262389.4,10495.58,25,961231,273183.2,3594.52,76,961231,Ceske Budejovice,south Bohemia,0,0,0,0,0
11295,74,POPLATEK MESICNE,930121,1993,3,13578,13886,OWNER,545412,44,1954,12,4,F,42,40,257359.4,6772.62,38,961231,252215.20000000004,4003.42,63,961231,Chrudim,east Bohemia,0,0,0,0,0
2970,60,POPLATEK MESICNE,930122,1993,3,3586,3586,OWNER,430411,60,1943,11,4,M,53,50,127142.30000000002,5297.6,24,961231,131975.20000000004,4399.17,30,961231,Prostejov,south Moravia,0,0,0,0,0
2676,73,POPLATEK MESICNE,930122,1993,3,3231,3231,OWNER,610603,21,1961,3,6,M,35,30,201526.00000000003,8061.04,25,961231,192279.20000000004,2633.96,73,961231,Tabor,south Bohemia,0,0,0,0,0
1536,41,POPLATEK TYDNE,930122,1993,3,1862,1862,OWNER,776009,50,1977,9,10,F,19,10,411931.4,12482.77,33,961231,411019.0,8562.9,48,961231,Svitavy,east Bohemia,0,0,0,0,0
1179,74,POPLATEK MESICNE,930123,1993,3,1419,1419,OWNER,185125,74,1918,25,1,F,78,70,51619.3,2150.8,24,961231,43961.19999999999,1418.1,31,961231,Ostrava - mesto,north Moravia,0,0,0,0,0
280,25,POPLATEK MESICNE,930123,1993,3,338,338,OWNER,515619,8,1951,19,6,F,45,40,159705.7,6142.53,26,961231,172351.20000000004,2825.43,61,961231,Mlada Boleslav,central Bohemia,0,0,0,0,0
2425,41,POPLATEK MESICNE,930123,1993,3,2930,2930,OWNER,410322,41,1941,22,3,M,55,50,123473.5,4257.71,29,961231,127307.20000000003,2829.05,45,961231,Usti nad Labem,north Bohemia,0,0,0,0,0
9307,68,POPLATEK MESICNE,930124,1993,3,11153,11461,OWNER,740708,70,1974,8,7,M,22,20,844144.4999999999,14554.22,58,961231,815569.1999999998,9709.16,84,961231,Karvina,north Moravia,0,0,0,0,0
4055,23,POPLATEK MESICNE,930124,1993,3,4886,4886,OWNER,791209,23,1979,9,12,M,17,10,265837.60000000003,11076.57,24,961231,272595.2,7572.09,36,961231,Cheb,west Bohemia,0,0,0,0,0
5065,66,POPLATEK MESICNE,930124,1993,3,6114,6114,OWNER,405215,66,1940,15,2,F,56,50,71811.6,3122.24,23,961231,86475.30000000002,3202.79,27,961231,Zdar nad Sazavou,south Moravia,0,0,0,0,0
3704,75,POPLATEK MESICNE,930124,1993,3,4466,4466,OWNER,226007,75,1922,7,10,F,74,70,76078.2,3169.92,24,961231,72747.2,1732.08,42,961231,Prerov,north Moravia,0,0,0,0,0
477,1,POPLATEK MESICNE,930125,1993,3,574,574,OWNER,721225,1,1972,25,12,M,24,20,215405.6,8975.23,24,961231,213799.20000000004,2928.76,73,961231,Hl.m. Praha,Prague,0,0,0,0,0
5891,54,POPLATEK MESICNE,930125,1993,3,7127,7127,OWNER,570929,3,1957,29,9,M,39,30,427984.00000000006,17119.36,25,961231,414007.1999999999,7527.4,55,961231,Beroun,central Bohemia,0,0,0,gold,1
1000,77,POPLATEK MESICNE,930125,1993,3,1204,1204,OWNER,746109,77,1974,9,11,F,22,20,410332.1,17097.17,24,961231,374327.19999999995,4991.03,75,961231,Vsetin,north Moravia,0,0,0,0,0
1750,1,POPLATEK MESICNE,930126,1993,3,2122,2122,OWNER,705717,1,1970,17,7,F,26,20,328613.0,13144.52,25,961231,292215.19999999995,4713.15,62,961231,Hl.m. Praha,Prague,0,0,0,gold,1
2023,68,POPLATEK MESICNE,930126,1993,3,2457,2457,OWNER,400817,68,1940,17,8,M,56,50,308302.8,12845.95,24,961231,273427.2,3294.3,83,961231,Frydek - Mistek,north Moravia,0,0,0,0,0
6473,12,POPLATEK MESICNE,930126,1993,3,7815,7815,OWNER,465119,4,1946,19,1,F,50,50,253535.90000000002,11023.3,23,961231,290993.4,6767.29,43,961231,Kladno,central Bohemia,0,0,0,0,0
1649,46,POPLATEK MESICNE,930126,1993,3,1999,1999,OWNER,825210,74,1982,10,2,F,14,10,76954.49999999999,5130.3,15,961231,61775.19999999999,2807.96,22,961231,Ostrava - mesto,north Moravia,0,0,0,0,0
2670,13,POPLATEK MESICNE,930127,1993,3,3225,3225,OWNER,570317,13,1957,17,3,M,39,30,318218.89999999997,13259.12,24,961231,332079.19999999995,6511.36,51,961231,Rakovnik,central Bohemia,0,0,0,0,0
1127,27,POPLATEK MESICNE,930127,1993,3,1353,1353,OWNER,590213,27,1959,13,2,M,37,30,306091.19999999995,12753.8,24,961231,310595.19999999995,6211.9,50,961231,Plzen - jih,west Bohemia,0,0,0,0,0
163,30,POPLATEK MESICNE,930127,1993,3,197,197,OWNER,330425,30,1933,25,4,M,63,60,81692.3,3403.85,24,961231,72151.2,1414.73,51,961231,Sokolov,west Bohemia,0,0,0,0,0
2566,48,POPLATEK MESICNE,930127,1993,3,3097,3097,OWNER,480822,48,1948,22,8,M,48,40,7900.0,1316.67,6,961207,8800.0,1466.67,6,960908,Rychnov nad Kneznou,east Bohemia,0,0,0,0,0
9,70,POPLATEK MESICNE,930127,1993,3,12,12,OWNER,810220,40,1981,20,2,M,15,10,28722.199999999997,1025.79,28,961231,74625.20000000001,1963.82,38,961231,Teplice,north Bohemia,0,0,0,0,0
1144,59,POPLATEK MESICNE,930128,1993,3,1375,1375,OWNER,770127,69,1977,27,1,M,19,10,41340.4,1722.52,24,961231,42475.19999999999,1061.88,40,961231,Jesenik,north Moravia,0,0,0,0,0
2902,32,POPLATEK MESICNE,930128,1993,3,3507,3507,OWNER,466202,32,1946,2,12,F,50,50,264277.0,11011.54,24,961231,276655.2,4610.92,60,961231,Ceska Lipa,north Bohemia,0,0,0,0,0
4296,63,POPLATEK MESICNE,930128,1993,3,5175,5175,OWNER,495918,63,1949,18,9,F,47,40,246747.9,10281.16,24,961231,228175.20000000004,6004.61,38,961231,Vyskov,south Moravia,0,0,0,0,0
443,64,POPLATEK MESICNE,930128,1993,3,534,534,OWNER,570722,74,1957,22,7,M,39,30,37841.700000000004,1576.74,24,961231,36031.19999999999,621.23,58,961231,Ostrava - mesto,north Moravia,0,0,0,0,0
3693,61,POPLATEK MESICNE,930129,1993,3,4453,4453,OWNER,765529,61,1976,29,5,F,20,20,229177.4,8184.91,28,961231,190959.20000000004,4440.91,43,961231,Trebic,south Moravia,0,0,0,0,0
2070,72,POPLATEK MESICNE,930129,1993,3,2510,2510,OWNER,595610,72,1959,10,6,F,37,30,183588.69999999998,5922.22,31,961231,168139.20000000004,4003.31,42,961231,Olomouc,north Moravia,0,0,0,0,0
1843,12,POPLATEK MESICNE,930130,1993,3,2235,2235,OWNER,405420,14,1940,20,4,F,56,50,232060.1,9282.4,25,961231,244633.10000000003,4447.87,55,961231,Ceske Budejovice,south Bohemia,0,0,0,0,0
2714,1,POPLATEK MESICNE,930130,1993,3,3276,3276,OWNER,800321,52,1980,21,3,M,16,10,111171.09999999999,3833.49,29,961231,118175.20000000004,3193.92,37,961231,Usti nad Orlici,east Bohemia,0,0,0,0,0
4078,40,POPLATEK MESICNE,930130,1993,3,4915,4915,OWNER,630719,40,1963,19,7,M,33,30,311209.7,12967.07,24,961231,284675.19999999995,8896.1,32,961231,Teplice,north Bohemia,0,0,0,0,0
1675,36,POPLATEK MESICNE,930201,1993,3,2034,2034,OWNER,260612,13,1926,12,6,M,70,70,53076.30000000001,2211.51,24,961231,50725.19999999998,1370.95,37,961231,Rakovnik,central Bohemia,0,0,0,0,0
5868,44,POPLATEK MESICNE,930202,1993,3,7100,7100,OWNER,615923,30,1961,23,9,F,35,30,155993.8,6499.74,24,961231,207929.20000000007,7169.97,29,961231,Sokolov,west Bohemia,0,0,0,0,0
1805,1,POPLATEK MESICNE,930202,1993,3,2186,2186,OWNER,425726,48,1942,26,7,F,54,50,381287.7,12299.6,31,961231,374750.19999999984,6939.82,54,961231,Rychnov nad Kneznou,east Bohemia,0,0,0,0,0
2434,17,POPLATEK MESICNE,930202,1993,3,2940,2940,OWNER,651016,1,1965,16,10,M,31,30,60721.00000000001,2335.42,26,961231,64519.19999999999,1897.62,34,961231,Hl.m. Praha,Prague,0,0,0,0,0
3007,16,POPLATEK MESICNE,930202,1993,3,3632,3632,OWNER,435929,15,1943,29,9,F,53,50,293536.69999999995,12230.7,24,961231,304147.19999999995,3578.2,85,961231,Cesky Krumlov,south Bohemia,0,0,0,0,0
2574,68,POPLATEK MESICNE,930202,1993,3,3105,3105,OWNER,470817,68,1947,17,8,M,49,40,191405.2,7089.08,27,961231,185427.20000000004,4031.03,46,961231,Frydek - Mistek,north Moravia,0,0,0,0,0
862,64,POPLATEK TYDNE,930202,1993,3,1039,1039,OWNER,806011,70,1980,11,10,F,16,10,579440.1,24143.34,24,961231,564524.0,10856.23,52,961231,Karvina,north Moravia,0,0,0,0,0
1132,1,POPLATEK TYDNE,930203,1993,3,1359,1359,OWNER,515904,1,1951,4,9,F,45,40,628403.5999999999,26183.48,24,961231,636846.0,13267.62,48,961231,Hl.m. Praha,Prague,0,0,0,0,0
4484,54,POPLATEK MESICNE,930203,1993,3,5409,5409,OWNER,480325,15,1948,25,3,M,48,40,188532.49999999997,8569.66,22,961231,190895.20000000007,5454.15,35,961231,Cesky Krumlov,south Bohemia,0,0,0,0,0
943,1,POPLATEK MESICNE,930203,1993,3,1137,1137,OWNER,775305,1,1977,5,3,F,19,10,39515.7,1646.49,24,961231,37543.19999999999,1014.68,37,961231,Hl.m. Praha,Prague,0,0,0,0,0
3514,7,POPLATEK MESICNE,930203,1993,3,4243,4243,OWNER,580126,7,1958,26,1,M,38,30,41768.7,1740.36,24,961231,38197.19999999999,1061.03,36,961231,Melnik,central Bohemia,0,0,0,0,0
3983,67,POPLATEK MESICNE,930204,1993,3,4803,4803,OWNER,450807,45,1945,7,8,M,51,50,191720.60000000003,7988.36,24,961231,182575.20000000004,6085.84,30,961231,Jicin,east Bohemia,0,0,0,0,0
9265,1,POPLATEK MESICNE,930204,1993,3,11101,11409,OWNER,805502,32,1980,2,5,F,16,10,482523.5999999999,10266.46,47,961231,518961.1999999999,7012.99,74,961231,Ceska Lipa,north Bohemia,0,0,0,0,0
465,32,POPLATEK MESICNE,930204,1993,3,559,559,OWNER,725905,32,1972,5,9,F,24,20,177655.09999999998,6344.82,28,961231,176787.20000000004,4778.03,37,961231,Ceska Lipa,north Bohemia,0,0,0,0,0
982,54,POPLATEK MESICNE,930205,1993,3,1183,1183,OWNER,421129,54,1942,29,11,M,54,50,75583.7,2438.18,31,961231,60691.19999999999,879.58,69,961231,Brno - mesto,south Moravia,0,0,0,0,0
411,70,POPLATEK MESICNE,930205,1993,3,496,496,OWNER,515521,70,1951,21,5,F,45,40,242838.6,10118.28,24,961231,252623.20000000007,5052.46,50,961231,Karvina,north Moravia,0,0,0,0,0
890,14,POPLATEK MESICNE,930205,1993,3,1072,1072,OWNER,666208,60,1966,8,12,F,30,30,98418.59999999999,3936.74,25,961231,108427.20000000003,2357.11,46,961231,Prostejov,south Moravia,0,0,0,0,0
627,63,POPLATEK MESICNE,930205,1993,3,754,754,OWNER,475604,63,1947,4,6,F,49,40,293277.0,12219.88,24,961231,278711.2,5464.93,51,961231,Vyskov,south Moravia,0,0,0,0,0
2429,61,POPLATEK MESICNE,930206,1993,3,2935,2935,OWNER,445502,61,1944,2,5,F,52,50,196801.1,7872.04,25,961231,186635.20000000004,3274.3,57,961231,Trebic,south Moravia,0,0,0,0,0
3960,64,POPLATEK MESICNE,930206,1993,3,4777,4777,OWNER,295623,64,1929,23,6,F,67,60,59002.299999999996,2458.43,24,961231,61103.19999999998,1490.32,41,961231,Zlin,south Moravia,0,0,0,0,0
2256,48,POPLATEK MESICNE,930206,1993,3,2731,2731,OWNER,271208,38,1927,8,12,M,69,60,57770.899999999994,2407.12,24,961231,51519.19999999999,1471.98,35,961231,Louny,north Bohemia,0,0,0,0,0
8051,1,POPLATEK TYDNE,930207,1993,3,9637,9945,OWNER,685414,31,1968,14,4,F,28,20,340490.2,14187.09,24,961231,352437.0,7048.74,50,961231,Tachov,west Bohemia,0,0,0,0,0
2647,73,POPLATEK MESICNE,930208,1993,3,3193,3193,OWNER,505222,28,1950,22,2,F,46,40,168209.8,6007.49,28,961231,162211.20000000004,3526.33,46,961231,Plzen - sever,west Bohemia,0,0,0,0,0
2241,6,POPLATEK MESICNE,930208,1993,3,2714,2714,OWNER,705306,6,1970,6,3,F,26,20,159183.1,5895.67,27,961231,148467.20000000004,2151.7,69,961231,Kutna Hora,central Bohemia,0,0,0,0,0
5622,70,POPLATEK MESICNE,930208,1993,3,6789,6789,OWNER,790326,57,1979,26,3,M,17,10,388689.9,13403.1,29,961231,410366.1999999999,6124.87,67,961231,Hodonin,south Moravia,0,0,0,0,0
2884,1,POPLATEK MESICNE,930208,1993,3,3486,3486,OWNER,620309,77,1962,9,3,M,34,30,108328.9,3282.69,33,961231,99523.20000000003,2764.53,36,961231,Vsetin,north Moravia,0,0,0,0,0
